a52dec 0.7.4-11
haveged 1.9.17-1
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
hplip 1:3.22.2-2
htop 3.1.2-1
hunspell 1.7.0-3
hwdata 0.357-1
hwinfo 21.80-1
hyphen 2.8.8-3
iana-etc 20220205-1
icu 70.1-1
ijs 0.35-3
imagemagick 7.1.0.29-1
imath 3.1.5-1
imlib2 1.8.1-1
inetutils 2.2-1
iniparser 4.1-4
intel-ucode 20220207-1
inxi 3.3.15.1-1
iproute2 5.17.0-1
iptables 1:1.8.7-1
iputils 20211215-1
iso-codes 4.9.0-1
iw 5.16-1
jack2 1.9.20-4
jansson 2.14-1
jasper 2.0.33-1
jbig2dec 0.19-1
jfsutils 1.1.15-8
js78 78.15.0-4
json-c 0.15-3
json-glib 1.6.6-2
kaccounts-integration 21.12.3-1
kaccounts-providers 21.12.3-1
kactivities 5.92.0-1
kactivities-stats 5.92.0-1
kactivitymanagerd 5.24.4-1
kamera 21.12.3-1
karchive 5.92.0-1
kate 21.12.3-1
kauth 5.92.0-1
kbd 2.4.0-2
kbookmarks 5.92.0-1
kcalc 21.12.3-1
kcmutils 5.92.0-1
kcodecs 5.92.0-1
kcolorpicker 0.1.6-1
kcompletion 5.92.0-1
kconfig 5.92.0-1
kconfigwidgets 5.92.0-1
kcontacts 1:5.92.0-1
kcoreaddons 5.92.0-1
kcrash 5.92.0-1
kdbusaddons 5.92.0-1
kde-cli-tools 5.24.4-1
kde-gtk-config 5.24.4-1
kdeclarative 5.92.0-1
kdeconnect 21.12.3-1
kdecoration 5.24.4-1
kded 5.92.0-1
kdegraphics-thumbnailers 21.12.3-1
kdelibs4support 5.92.0-1
kdenetwork-filesharing 21.12.3-1
kdeplasma-addons 5.24.4-1
kdesu 5.92.0-1
kdnssd 5.92.0-1
kdoctools 5.92.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 21.12.3-1
kemoticons 5.92.0-1
keyutils 1.6.3-1
kfilemetadata 5.92.0-2
kfind 21.12.3-1
kgamma5 5.24.4-1
kget 21.12.3-2
kglobalaccel 5.92.0-1
kguiaddons 5.92.0-1
khelpcenter 21.12.3-1
kholidays 1:5.92.0-1
khotkeys 5.24.4-1
khtml 5.92.0-1
ki18n 5.92.0-1
kiconthemes 5.92.0-1
kidletime 5.92.0-1
kimageannotator 0.5.3-2
kimageformats 5.92.0-1
kinfocenter 5.24.4-1
kinit 5.92.0-1
kio 5.92.0-1
kio-extras 21.12.3-1
kio-fuse 5.0.1-1
kirigami2 5.92.0-1
kitemmodels 5.92.0-1
kitemviews 5.92.0-1
kjobwidgets 5.92.0-1
kjs 5.92.0-1
kmenuedit 5.24.4-1
kmod 29-2
knewstuff 5.92.0-2
knotifications 5.92.0-1
knotifyconfig 5.92.0-1
konsole 21.12.3-1
kpackage 5.92.0-1
kparts 5.92.0-1
kpeople 5.92.0-1
kpeoplevcard 0.1+r38.32d50a9-1
kpmcore 21.12.3-1
kpty 5.92.0-1
kquickcharts 5.92.0-1
krb5 1.19.2-2
krunner 5.92.0-1
kscreen 5.24.4-1
kscreenlocker 5.24.4-1
kservice 5.92.0-1
ksshaskpass 5.24.4-1
ksysguard 5.22.0-1
ksystemlog 21.12.3-1
ksystemstats 5.24.4-1
ktexteditor 5.92.0-1
ktextwidgets 5.92.0-1
kunitconversion 5.92.0-1
kuserfeedback 1.2.0-1
kwallet 5.92.0-1
kwallet-pam 5.24.4-1
kwalletmanager 21.12.3-1
kwayland 5.92.0-1
kwayland-integration 5.24.4-1
kwayland-server 5.24.4-1
kwidgetsaddons 5.92.0-1
kwin 5.24.4-1
kwindowsystem 5.92.0-1
kwrited 5.24.4-1
